Sentence,Sentiment
$TSPT  long 8.00,positive
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,neutral
Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,neutral
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,positive
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,neutral
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",positive
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",neutral
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",neutral
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",neutral
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",neutral
"Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral
$WYNN big bounce,positive
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",neutral
"Royal Mail, Johnson Matthey lead FTSE lower",negative
Morrisons faces festive sales test,negative
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",positive
"FDA approves NPS drug, in move validating Shire takeover deal",positive
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",neutral
Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,neutral
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,negative
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",positive
$FB watching for bounce tomorrow,positive
"In addition , the company is considering the start of production in Russia .",neutral
NetCom expects to complete Turbo 3G deployment in these areas this year .,neutral
J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,neutral
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative
"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",neutral
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative
"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share .",neutral
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,neutral
Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,neutral
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral
$RAD All my charts are flashing oversold.,neutral
$FB gettin in the buy zone soon ;),positive
The order was valued at over EUR15m .,neutral
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",neutral
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,negative
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",positive
"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",negative
"$ZSL looking very weak, could be a good short setup.",negative
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",neutral
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",positive
Insurance policies should be simple .,neutral
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,neutral
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative
$SPY weak close,negative
Compass Group says positive for year ahead,positive
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive
"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",neutral
"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .",neutral
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",neutral
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,neutral
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",neutral
The result before taxes was a loss of 25.0 million euros .,neutral
BHP Billiton drags FTSE lower after slashing dividend,negative
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",neutral
"It is a member of the OneWorld alliance , which includes American Airlines and British Airways .",neutral
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",neutral
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",positive
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",neutral
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",positive
volatility squeeze in $AAPL. I hope it gets resolved to the upside,neutral
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive
"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange .",neutral
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",neutral
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",neutral
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,negative
"As a domestic business , Best-In is already close to Finnish dog owners .",positive
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",neutral
The webcast may be followed online on the company website at www.ruukki.com/investors .,neutral
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,positive
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",neutral
"It s an area that is highly valued , because most of the land there has already been built on .",neutral
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,neutral
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral
It will use the proceeds from the transaction to achieve its target .,neutral
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,positive
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",positive
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",neutral
All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,neutral
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",positive
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",negative
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",neutral
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,neutral
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral
The deal is subject to approval by the Norwegian competition authorities .,neutral
Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,neutral
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",neutral
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,positive
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive
He confirmed his view on July 6 .,neutral
Glencore blames rivals for creating metals glut,negative
Estonia 's beer market overall grew three percent last year to 130 million liters .,positive
"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",neutral
"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",neutral
The company will also be compensated for acting as a reserve batch plant .,positive
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,positive
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative
$INO back in this am small post,positive
"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .",neutral
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",positive
"$pcln back over ""up"" trendline from 10/4",positive
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",negative
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",neutral
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,positive
Autotank Group is part of Aspo 's Systems Division .,neutral
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",negative
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",positive
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,neutral
Fortum also has a blocking stake in Northwestern TGK-1 .,neutral
It will report full-year results on August 22 .,neutral
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,neutral
"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .",neutral
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",positive
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,neutral
New Credit Suisse boss faces stiff challenge in Asia,negative
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,neutral
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,neutral
"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",positive
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",neutral
"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",neutral
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",positive
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral
FDA approves Shire's Vyvanse for binge-eating disorder,positive
Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,negative
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,positive
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive
The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",negative
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",neutral
Long $X 24.62,positive
"The number of class A shares remains unchanged at 9,526,089 shares .",neutral
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative
The pipeline is strong .,positive
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,neutral
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",neutral
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",neutral
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",positive
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,positive
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,neutral
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",neutral
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",neutral
The figure does not include food exports from Finland .,neutral
They are also upset that some of the machinery and work is taken over to Poland .,neutral
"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",neutral
"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .",neutral
The company distributes Hiab 's products as well as other products .,neutral
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive
"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems .",neutral
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,negative
"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",neutral
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .",neutral
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",negative
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",neutral
The emerging markets that Raisio has chosen to enter so far are marked by relatively low per capita food consumption .,neutral
$CAMT Looks like might break down. I'm out,negative
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,neutral
We are now taking Marimekko there on a distinctly more significant scale .,neutral
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",neutral
"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media .",neutral
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",negative
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",positive
Repeats sees 2008 EBITA above 18 pct of sales .,positive
The construction project is scheduled to start in the second quarter of 2009 and the new building is scheduled to be in place by the end of 2010 .,neutral
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",neutral
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",negative
"Argentine agricultural export company Calafate has tapped compatriot firm Finnegans for a software solution , the latter company said in a statement .",neutral
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",positive
$NFLX and $TSLA making all kinds of gains 📈,positive
Out of shorts $ALTR at 38.85 with loss,positive
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",negative
"$FB trend, hits mid 110's and drops",negative
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",neutral
"Several large stocks tacked lower , however .",neutral
"JVC will stop producing DVD players in Brazil : JVC do Brazil , a subsidiary of Japan 's JVC group announced it will stop the production of DVD players in Brazil .",neutral
"$AMZN trades in mid to upper range. No break out yet, either direction",neutral
Roshan 's net sales in 2006 were $ 191 million and EBITDA was $ 66.5 million .,neutral
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral
"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",positive
Joint procurement will be later extended to the factories in the Baltic countries .,neutral
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",neutral
( The acquisition sum has not been disclosed . ),neutral
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,negative
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",positive
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive
"BasWare is headquartered in Espoo , Finland .",neutral
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",positive
The order for plywood mill machinery and equipment announced by Finnish Raute in September 2006 will be delivered to Thebault Plyland in France .,neutral
The Swedish player became majority owner of UCell in mid-2007 .,neutral
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),negative
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,positive
ND = Not disclosed .,neutral
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,neutral
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",neutral
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,neutral
RSA 's shares closed at 156.9 p at the time of going to press .,neutral
$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,positive
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive
"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral
ouch looks like $tsla shorts getting skinned again,positive
The first of the two project phases is expected to be completed by the end of 2012 .,neutral
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,positive
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",neutral
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,neutral
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative
The passenger tunnel is expected to be put into operation in 2009 .,neutral
Tata Steel working with StanChart for UK unit sale - source,positive
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral
"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .",neutral
Activities range from the development of natural resources to the retailed marketing of finished products .,neutral
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive
"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",neutral
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive
AstraZeneca sells US drug rights to Perrigo for $380 mln,positive
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,negative
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",neutral
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,negative
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",positive
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,neutral
"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",positive
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive
"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales .",neutral
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,negative
"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .",neutral
The proposed consolidation activities will impact approximately 30 positions .,neutral
Consumption is forecast to grow by about 2 % .,positive
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,positive
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,negative
You are warmly welcome !,neutral
Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,neutral
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive
